Luksoriańska świątynia	t	luksoriańska świątynia	

Luksoriańska świątynia	g	luksoriańskiej świątyni	

Luksoriańska świątynia	d	luksoriańskiej świątyni
Luksoriańska świątynia	a	luksoriańską świątynię
Znacznik przejęcia Luksoriańskiej świątyni	t	znacznik przejęcia luksoriańskiej świątyni
Znacznik przejęcia Luksoriańskiej świątyni	g	znacznika przejęcia luksoriańskiej świątyni
Znacznik przejęcia Luksoriańskiej świątyni	d	znacznikowi przejęcia luksoriańskiej świątyni
Znacznik przejęcia Luksoriańskiej świątyni	a	znacznik przejęcia luksoriańskiej świątyni
Roślinny Koszmar	t	Roślinny Koszmar
Roślinny Koszmar	g	Roślinnego Koszmaru
Roślinny Koszmar	d	Roślinnemu Koszmarowi
Roślinny Koszmar	a	Roślinny Koszmar

Żyzna ziemia	t	żyzna ziemia
Żyzna ziemia	g	żyznej ziemi

Żyzna ziemia	d	żyznej ziemi

Żyzna ziemia	a	żyzną ziemię
Nasiono	t	Nasiono
Nasiono	g	Nasiona
Nasiono	d	Nasionu
Nasiono	a	Nasiono
Ogrodowy Koszmar	t	Ogrodowy Koszmar
Ogrodowy Koszmar	g	Ogrodowego Koszmaru
Ogrodowy Koszmar	d	Ogrodowemu Koszmarowi
Ogrodowy Koszmar	a	Ogrodowy Koszmar
Baza	t	baza
Baza	g	bazy
Baza	d	bazie
Baza	a	bazę
Żarłoczny Rozrost	t	Żarłoczny Rozrost
Żarłoczny Rozrost	g	Żałocznego Rozrostu
Żarłoczny Rozrost	d	Żarłocznemu Rozrostowi
Żarłoczny Rozrost	a	Żarłoczny Rozrost
Zainfekowane truchło	t	zainfekowane truchło
Zainfekowane truchło	g	zainfekowanego truchła
Zainfekowane truchło	d	zainfekowanemu truchłu
Zainfekowane truchło	a	zainfekowane truchło
Obrońca	t	Obrońca
Obrońca	g	Obrońcy
Obrońca	d	Obrońcy
Obrońca	a	Obrońcę
Obóz Koszmarów	t	obóz koszmarów
Obóz Koszmarów	g	obozu koszmarów
Obóz Koszmarów	d	obozowi koszmarów
Obóz Koszmarów	a	obóz koszmarów
Obóz Kiełków	t	obóz kiełków
Obóz Kiełków	g	obozu kiełków
Obóz Kiełków	d	obozowi kiełków
Obóz Kiełków	a	obóz kiełków
